QuestionId_Answer,MisconceptionId
1869_A,25 42 48 49 83 85 90 100 105 106 117 135 141 146 159 166 167 173 175 176 197 199 208 214 219
1869_B,25 42 48 49 83 85 90 100 105 106 117 135 141 146 159 166 167 173 175 176 197 199 208 214 219
1869_C,25 42 48 49 83 85 90 100 105 106 117 135 141 146 159 166 167 173 175 176 197 199 208 214 219
1869_D,21 31 32 35 37 40 41 44 52 55 60 63 64 79 83 88 90 92 95 97 105 121 122 131 132
1870_A,479 1709 1762 1855 2204 2393 0 4 5 10 17 19 20 21 22 25 28 29 30 31 32 33 35 37 39
1870_B,139 214 216 243 266 620 710 811 817 869 968 1010 1095 1267 1321 1388 1509 1590 1693 1709 1779 1828 1855 1895 1926
1870_C,479 1709 1762 1855 2204 2393 0 4 5 10 17 19 20 21 22 25 28 29 30 31 32 33 35 37 39
1870_D,127 146 150 175 199 260 280 314 351 380 400 481 520 596 626 706 730 752 895 928 1022 1038 1054 1113 1121
1871_A,17 29 42 50 69 132 176 250 257 262 342 351 412 414 434 443 460 479 492 493 502 509 524 552 571
1871_B,0 2 4 6 7 9 10 11 12 15 16 19 20 22 24 25 27 28 29 30 31 32 35 37 38
1871_C,0 2 4 6 7 9 10 11 12 15 16 19 20 22 24 25 27 28 29 30 31 32 35 37 38
1871_D,14 66 68 74 83 109 136 150 151 156 169 170 174 196 214 215 242 256 260 262 267 280 287 301 322
